dataset,test_acc_MultiRocket_10000,test_acc_MultiRocket_49728,test_acc_mlp_MultiRocket_49728,test_acc_rf_MultiRocket_49728,test_acc_rf_MultiRocket_9600,test_acc_skew_MultiRocket_62160,test_acc_var_MultiRocket_62160,total_time_MultiRocket_10000,total_time_MultiRocket_49728,total_time_mlp_MultiRocket_49728,total_time_rf_MultiRocket_49728,total_time_rf_MultiRocket_9600,total_time_skew_MultiRocket_62160,total_time_var_MultiRocket_62160
Beef,,,,0.7,,,,,,,0.38711987501301304,,,
Coffee,,,,1.0,,,,,,,0.2769640420010544,,,
Crop,,,,0.7570833333333333,,,,,,,56.02314837501035,,,
ECG200,,,,0.87,0.88,,,,,,0.4671181249941581,0.2047608329958164,,
ElectricDevices,,,,0.7281805213331605,,,,,,,80.58345925000322,,,
InsectWingbeatSound,0.6424242424242425,0.6373737373737374,0.6237373737373737,0.6696969696969697,,0.6186868686868687,0.6267676767676768,0.9621510420111008,2.8336814190261066,3.626367958058836,4.945926209002209,,3.4166509580099955,3.797745376039529
StarLightCurves,0.9794803302574066,0.979966002914036,0.977659057795046,0.9800874210781932,,0.9787518212724624,0.9797231665857212,4.187274708994664,13.415214249922428,15.206164585018996,36.934060250001494,,18.456351290020393,15.98720225004945
